Name,Salary
Alex Abrines,"$3,752,179 "
Quincy Acy,"$218,879 "
Steven Adams,"$24,714,096 "
Jaylen Adams,"$242,313 "
Bam Adebayo,"$3,023,968 "
Deng Adel,"$79,030 "
Alexis Ajinca,"$5,407,215 "
DeVaughn Akoon-Purcell,"$79,030 "
Cole Aldrich,"$2,046,097 "
LaMarcus Aldridge,"$22,862,082 "
Rawle Alkins,"$79,030 "
Grayson Allen,"$2,124,831 "
Jarrett Allen,"$2,081,003 "
Kadeem Allen,"$79,030 "
Al-Farouq Aminu,"$7,117,456 "
Ryan Anderson,"$20,892,234 "
Kyle Anderson,"$8,840,163 "
Justin Anderson,"$2,574,038 "
Ike Anigbogu,"$1,380,484 "
Giannis Antetokounmpo,"$24,714,096 "
Kostas Antetokounmpo,"$79,030 "
Carmelo Anthony,"$2,449,062 "
OG Anunoby,"$1,997,768 "
Ryan Arcidiacono,"$1,380,484 "
Trevor Ariza,"$15,345,729 "
Darrell Arthur,"$7,636,967 "
Omer Asik,"$11,546,654 "
DJ Augustin,"$7,417,102 "
Deandre Ayton,"$8,364,281 "
Dwayne Bacon,"$1,410,008 "
Marvin Bagley,"$7,483,559 "
Ron Baker,"$4,806,100 "
Wade Baldwin,"$1,580,559 "
Lonzo Ball,"$7,633,947 "
Mo Bamba,"$4,983,556 "
Jose Juan Barea,"$3,796,379 "
Harrison Barnes,"$24,662,897 "
Will Barton,"$12,103,031 "
Keita Bates-Diop,"$857,789 "
Nicolas Batum,"$24,553,167 "
Jerryd Bayless,"$8,773,579 "
Aron Baynes,"$5,313,305 "
Kent Bazemore,"$18,506,835 "
Bradley Beal,"$26,020,486 "
Michael Beasley,"$3,580,670 "
Malik Beasley,"$1,814,724 "
Marco Belinelli,"$6,295,683 "
Jordan Bell,"$1,410,008 "
DeAndre Bembry,"$1,672,316 "
Dragan Bender,"$4,768,716 "
Davis Bertans,"$7,161,340 "
Dairis Bertans,"$198,696 "
Patrick Beverley,"$5,142,894 "
Justin Bibbs,"$94,283 "
Khem Birch,"$1,410,008 "
Jabari Bird,"$1,380,484 "
Bismack Biyombo,"$17,391,826 "
Nemanja Bjelica,"$6,649,816 "
Antonio Blakeney,"$1,380,484 "
Eric Bledsoe,"$15,345,729 "
Jaron Blossomgame,"$79,030 "
Trevon Bluiett,"$79,030 "
Bojan Bogdanovic,"$10,742,010 "
Bogdan Bogdanovic,"$9,207,437 "
Andrew Bogut,"$498,114 "
Jonah Bolden,"$1,728,952 "
Isaac Bonga,"$1,023,048 "
Devin Booker,"$3,390,756 "
Chris Bosh,"$27,456,292 "
Chris Boucher,"$467,960 "
Avery Bradley,"$12,276,583 "
Tony Bradley,"$1,718,230 "
Corey Brewer,"$2,618,927 "
Mikal Bridges,"$3,639,393 "
Miles Bridges,"$3,280,548 "
Isaiah Briscoe,"$857,789 "
Ryan Broekhoff,"$857,789 "
Malcolm Brogdon,"$1,580,559 "
MarShon Brooks,"$1,694,262 "
Dillon Brooks,"$1,410,008 "
Jaylen Brown,"$5,289,120 "
Troy Brown,"$2,816,125 "
Sterling Brown,"$1,410,008 "
Bruce Brown,"$857,789 "
Lorenzo Brown,"$818,438 "
Jalen Brunson,"$1,258,349 "
Thomas Bryant,"$1,410,008 "
Reggie Bullock,"$2,557,621 "
Trey Burke,"$1,836,387 "
Alec Burks,"$11,802,415 "
Deonte Burton,"$511,524 "
Jimmy Butler,"$20,298,949 "
Bruno Caboclo,"$721,618 "
Jose Calderon,"$2,449,062 "
Kentavious Caldwell-Pope,"$12,276,583 "
Isaiah Canaan,"$761,833 "
Clint Capela,"$16,157,113 "
DeMarre Carroll,"$15,754,948 "
Wendell Carter,"$4,549,333 "
Vince Carter,"$2,449,062 "
Jevon Carter,"$857,789 "
Michael Carter-Williams,"$1,501,918 "
Alex Caruso,"$79,030 "
Omri Casspi,"$2,226,419 "
Willie Cauley-Stein,"$4,805,130 "
Troy Caupain,"$79,030 "
Tyler Cavanaugh,"$79,030 "
Tyson Chandler,"$13,898,114 "
Wilson Chandler,"$13,095,597 "
Joe Chealey,"$79,030 "
Chris Chiozza,"$140,540 "
Marquese Chriss,"$3,280,057 "
Ian Clark,"$1,797,935 "
Gary Clark,"$689,659 "
Jordan Clarkson,"$12,788,107 "
Zach Collins,"$3,712,561 "
John Collins,"$2,352,070 "
Darren Collison,"$10,230,486 "
Bonzie Colson,"$79,030 "
Mike Conley,"$31,224,584 "
Pat Connaughton,"$1,678,822 "
Quinn Cook,"$1,580,559 "
Charles Cooke,"$77,993 "
DeMarcus Cousins,"$5,460,010 "
Robert Covington,"$10,705,274 "
Allen Crabbe,"$19,778,087 "
Torrey Craig,"$2,046,097 "
Jamal Crawford,"$4,806,397 "
Mitch Creek,"$58,155 "
Mitchell Creek,"$48,461 "
Jae Crowder,"$7,474,214 "
Dante Cunningham,"$2,544,321 "
Stephen Curry,"$38,320,489 "
Seth Curry,"$2,859,420 "
Troy Daniels,"$3,333,643 "
Anthony Davis,"$26,020,487 "
Ed Davis,"$4,551,543 "
Deyonta Davis,"$1,781,641 "
Tyler Davis,"$79,030 "
Dewayne Dedmon,"$6,445,206 "
Sam Dekker,"$2,823,710 "
Angel Delgado,"$79,030 "
Matthew Dellavedova,"$9,828,939 "
Cody Demps,"$48,461 "
Luol Deng,"$17,133,970 "
DeMar DeRozan,"$28,379,343 "
Marcus Derrickson,"$79,030 "
Cheick Diallo,"$1,580,559 "
Hamidou Diallo,"$857,789 "
Gorgui Dieng,"$15,520,452 "
Spencer Dinwiddie,"$1,694,262 "
Donte DiVincenzo,"$2,541,621 "
Luka Doncic,"$6,720,447 "
Tyler Dorsey,"$1,410,008 "
Damyean Dotson,"$1,410,008 "
PJ Dozier,"$79,030 "
Goran Dragic,"$18,526,566 "
Andre Drummond,"$26,020,486 "
Jared Dudley,"$9,749,653 "
Kris Dunn,"$4,318,288 "
Kevin Durant,"$30,691,458 "
Trevon Duval,"$79,030 "
Vincent Edwards,"$79,030 "
Henry Ellenson,"$2,250,001 "
Wayne Ellington,"$8,852,516 "
Monta Ellis,"$2,297,153 "
Joel Embiid,"$26,054,235 "
James Ennis,"$1,658,786 "
Drew Eubanks,"$79,030 "
Tyreke Evans,"$12,685,802 "
Jacob Evans,"$1,684,347 "
Jawun Evans,"$1,489,038 "
Keenan Evans,"$79,030 "
Dante Exum,"$10,844,315 "
Kenneth Faried,"$14,571,058 "
Derrick Favors,"$17,289,521 "
Cristiano Felicio,"$8,666,224 "
Raymond Felton,"$2,449,062 "
Terrance Ferguson,"$2,167,676 "
Yogi Ferrell,"$3,069,145 "
Dorian Finney-Smith,"$1,580,559 "
Bryn Forbes,"$3,197,026 "
Evan Fournier,"$17,391,826 "
De'Aaron Fox,"$5,597,017 "
Tim Frazier,"$1,874,334 "
Melvin Frazier,"$1,074,201 "
Michael Frazier,"$48,461 "
Jimmer Fredette,"$203,155 "
Channing Frye,"$2,449,062 "
